Time,Open,High,Low,Close,Volume
2025.03.10 22:00,92.311,92.502,92.151,92.498,4064.000
2025.03.10 21:00,92.532,92.626,92.292,92.311,9183.000
2025.03.10 20:00,92.772,92.813,92.522,92.532,9363.000
2025.03.10 19:00,92.803,92.878,92.695,92.772,10100.000
2025.03.10 18:00,92.586,92.953,92.586,92.803,12446.000
2025.03.10 17:00,92.906,92.906,92.475,92.586,15700.000
2025.03.10 16:00,92.997,93.075,92.825,92.906,13032.000
2025.03.10 15:00,93.051,93.095,92.798,92.997,8804.000
2025.03.10 14:00,92.890,93.090,92.777,93.050,9553.000
2025.03.10 13:00,93.141,93.220,92.888,92.890,8086.000
2025.03.10 12:00,92.914,93.259,92.890,93.141,8943.000
2025.03.10 11:00,93.298,93.325,92.878,92.914,10212.000
2025.03.10 10:00,93.326,93.418,93.174,93.296,7691.000
2025.03.10 09:00,93.187,93.383,93.171,93.326,5434.000
2025.03.10 08:00,93.107,93.324,93.101,93.183,4344.000
2025.03.10 07:00,93.093,93.162,93.061,93.107,3219.000
2025.03.10 06:00,93.107,93.217,92.987,93.093,4255.000
2025.03.10 05:00,93.121,93.245,93.031,93.107,5291.000
2025.03.10 04:00,92.957,93.142,92.856,93.121,7141.000
2025.03.10 03:00,93.025,93.078,92.873,92.957,7740.000
2025.03.10 02:00,92.934,93.126,92.844,93.025,5346.000
2025.03.10 01:00,93.012,93.189,92.930,92.934,5482.000
2025.03.10 00:00,93.269,93.332,93.006,93.012,793.000
2025.03.07 23:00,93.360,93.382,93.281,93.312,2814.000
2025.03.07 22:00,93.391,93.465,93.301,93.360,8808.000
2025.03.07 21:00,93.224,93.485,93.169,93.391,10420.000
2025.03.07 20:00,92.814,93.232,92.806,93.225,13547.000
2025.03.07 19:00,92.676,92.988,92.426,92.814,14940.000
2025.03.07 18:00,93.127,93.136,92.552,92.676,16186.000
2025.03.07 17:00,93.017,93.292,92.745,93.128,18141.000
2025.03.07 16:00,92.542,93.140,92.422,93.017,17937.000
2025.03.07 15:00,92.958,93.216,92.510,92.541,16675.000
2025.03.07 14:00,92.981,93.088,92.867,92.958,9505.000
2025.03.07 13:00,93.087,93.124,92.948,92.980,7551.000
2025.03.07 12:00,93.090,93.099,92.949,93.087,7734.000
2025.03.07 11:00,93.071,93.235,93.031,93.090,9745.000
2025.03.07 10:00,93.158,93.285,92.987,93.071,12536.000
2025.03.07 09:00,92.973,93.238,92.956,93.159,9605.000
2025.03.07 08:00,92.915,93.073,92.869,92.973,7002.000
2025.03.07 07:00,93.123,93.178,92.913,92.915,5486.000
2025.03.07 06:00,93.031,93.137,92.973,93.123,5071.000
2025.03.07 05:00,93.200,93.203,92.972,93.031,6235.000
2025.03.07 04:00,93.468,93.504,93.183,93.200,6391.000
2025.03.07 03:00,93.607,93.706,93.406,93.468,7926.000
2025.03.07 02:00,93.803,93.812,93.457,93.607,7737.000
2025.03.07 01:00,93.663,93.810,93.655,93.804,3409.000
2025.03.07 00:00,93.704,93.704,93.473,93.663,1142.000
2025.03.06 23:00,93.573,93.737,93.573,93.703,3333.000
2025.03.06 22:00,93.568,93.711,93.532,93.573,10653.000
2025.03.06 21:00,93.665,93.792,93.420,93.569,10890.000
2025.03.06 20:00,93.768,93.877,93.622,93.665,11340.000
2025.03.06 19:00,93.879,93.998,93.594,93.768,14486.000
2025.03.06 18:00,94.144,94.399,93.872,93.878,17591.000
2025.03.06 17:00,93.537,94.162,93.518,94.145,19007.000
2025.03.06 16:00,93.354,93.684,93.296,93.537,18273.000
2025.03.06 15:00,93.487,93.623,93.320,93.355,15249.000
2025.03.06 14:00,93.646,93.686,93.468,93.486,8896.000
2025.03.06 13:00,93.570,93.680,93.450,93.646,7916.000
2025.03.06 12:00,93.656,93.756,93.519,93.570,9074.000
2025.03.06 11:00,93.869,93.869,93.472,93.656,12364.000
2025.03.06 10:00,93.951,94.044,93.804,93.870,13006.000
